ID,N_replicates,N_chains,Seeds,ipTM_LCB,Sum_CONTACTS,CONTACTS_HBOND,CONTACTS_SALT_BRIDGE,CONTACTS_HYDROPHOBIC,CONTACTS_DISULFIDE,CONTACTS_VDW,BSA_INT_PROTO,SD_THETA_ROT,S_PROTO,D_APEX,SD_THETA_APEX,THETA_APEX_mean,THETA_APEX_sd,L_APEX_mean,L_APEX_sd,H_ABS_mean,H_ABS_sd,MU_H_mean,MU_H_sd,ALPHA1_LINEARITY_mean,ALPHA1_LINEARITY_sd,ALPHA1_PLDDT_mean,ALPHA1_PLDDT_sd,D_MHD_P_mean,D_MHD_P_sd,D_CC_NB_LINKER_mean,D_CC_NB_LINKER_sd,L_CC_NB_LINKER_mean,L_CC_NB_LINKER_sd,ipTM_mean,ipTM_sd,Sum_CONTACTS_mean,Sum_CONTACTS_sd,CONTACTS_HBOND_mean,CONTACTS_HBOND_sd,CONTACTS_SALT_BRIDGE_mean,CONTACTS_SALT_BRIDGE_sd,CONTACTS_HYDROPHOBIC_mean,CONTACTS_HYDROPHOBIC_sd,CONTACTS_DISULFIDE_mean,CONTACTS_DISULFIDE_sd,CONTACTS_VDW_mean,CONTACTS_VDW_sd,BSA_INT_PROTO_mean,BSA_INT_PROTO_sd,SD_THETA_ROT_mean,SD_THETA_ROT_sd,SD_THETA_APEX_mean,SD_THETA_APEX_sd,S_PROTO_mean,S_PROTO_sd,D_APEX_mean,D_APEX_sd
pvr4_ccnbarc_hexa_oleic,1,6,[1],0.68,303.183665,28.49393,27.920129,52.004784,0.0,193.359262,2397.951761,0.2437,0.111,13.89,,,,14.0,0.0,-0.693056,0.0,0.3476,0.0,0.872017,0.0,75.838333,0.0,,,,,,,0.68,0.0,303.183665,0.0,28.49393,0.0,27.920129,0.0,52.004784,0.0,0.0,0.0,193.359262,0.0,2397.951761,0.0,0.2437,0.0,,,0.111,0.0,13.89,0.0
pvr4_ccnbarc_penta_oleic,1,5,[1],0.67,297.031723,22.616,30.9199,47.657133,0.0,192.164742,2297.957884,0.0293,0.019,12.81,,,,14.0,0.0,-0.731098,0.0,0.3476,0.0,0.87264,0.0,71.226,0.0,,,,,,,0.67,0.0,297.031723,0.0,22.616,0.0,30.9199,0.0,47.657133,0.0,0.0,0.0,192.164742,0.0,2297.957884,0.0,0.0293,0.0,,,0.019,0.0,12.81,0.0
rgc2b_ccnbarc_hexa_oleic,1,6,[1],0.69,291.459356,20.830533,23.397046,50.979662,0.0,194.053333,2540.128432,0.0893,0.082,15.91,,,,31.0,0.0,-0.270968,0.0,0.1485,0.0,0.8906,0.0,78.86,0.0,,,,,,,0.69,0.0,291.459356,0.0,20.830533,0.0,23.397046,0.0,50.979662,0.0,0.0,0.0,194.053333,0.0,2540.128432,0.0,0.0893,0.0,,,0.082,0.0,15.91,0.0
rgc2b_ccnbarc_penta_oleic,1,5,[1],0.69,284.736,23.808,28.466635,37.899709,0.0,193.888,2490.891558,0.1429,0.039,16.34,,,,30.0,0.0,-0.222391,0.0,0.1234,0.0,0.88708,0.0,82.032,0.0,,,,,,,0.69,0.0,284.736,0.0,23.808,0.0,28.466635,0.0,37.899709,0.0,0.0,0.0,193.888,0.0,2490.891558,0.0,0.1429,0.0,,,0.039,0.0,16.34,0.0
rps2_ccnbarc_hexa_oleic,1,6,[1],0.48,288.380206,19.013333,13.061731,75.514585,0.0,178.620404,2618.348353,0.1584,0.038,14.89,0.3863,10.186667,0.0,26.0,0.0,-0.267442,0.0,0.3532,0.0,0.959067,0.0,65.633333,0.0,,,,,,,0.48,0.0,288.380206,0.0,19.013333,0.0,13.061731,0.0,75.514585,0.0,0.0,0.0,178.620404,0.0,2618.348353,0.0,0.1584,0.0,0.3863,0.0,0.038,0.0,14.89,0.0
rps2_ccnbarc_penta_oleic,1,5,[1],0.41,365.895615,24.808,21.808,93.034873,0.0,224.848,2727.335517,0.3129,0.071,20.9,0.9822,11.862,0.0,63.0,0.0,-0.22803,0.0,0.0771,0.0,0.97518,0.0,64.686,0.0,,,,,,,0.41,0.0,365.895615,0.0,24.808,0.0,21.808,0.0,93.034873,0.0,0.0,0.0,224.848,0.0,2727.335517,0.0,0.3129,0.0,0.9822,0.0,0.071,0.0,20.9,0.0
rps5_ccnbarc_hexa_oleic,1,6,[1],0.7,276.469193,21.564323,15.68,68.523244,0.0,169.730696,2509.46385,0.2151,0.089,25.91,0.3118,50.193333,0.0,22.0,0.0,-0.02605,0.0,0.299,0.0,0.941167,0.0,78.166667,0.0,,,,,,,0.7,0.0,276.469193,0.0,21.564323,0.0,15.68,0.0,68.523244,0.0,0.0,0.0,169.730696,0.0,2509.46385,0.0,0.2151,0.0,0.3118,0.0,0.089,0.0,25.91,0.0
rps5_ccnbarc_penta_oleic,1,5,[1],0.58,235.668185,20.616,13.657133,45.09285,0.0,154.191089,2344.549403,0.1556,0.056,26.37,0.5053,40.6,0.0,22.0,0.0,-0.02605,0.0,0.299,0.0,0.93888,0.0,74.174,0.0,,,,,,,0.58,0.0,235.668185,0.0,20.616,0.0,13.657133,0.0,45.09285,0.0,0.0,0.0,154.191089,0.0,2344.549403,0.0,0.1556,0.0,0.5053,0.0,0.056,0.0,26.37,0.0
rsv3_ccnbarc_hexa_oleic,1,6,[1],0.64,257.435512,22.013333,16.830533,55.680516,0.0,161.576481,2380.734684,0.1556,0.06,22.38,0.9051,50.091667,0.0,30.0,0.0,-0.354472,0.0,0.3337,0.0,0.943533,0.0,61.108333,0.0,,,,,,,0.64,0.0,257.435512,0.0,22.013333,0.0,16.830533,0.0,55.680516,0.0,0.0,0.0,161.576481,0.0,2380.734684,0.0,0.1556,0.0,0.9051,0.0,0.06,0.0,22.38,0.0
rsv3_ccnbarc_penta_oleic,1,5,[1],0.65,266.690465,21.070663,17.808,65.562727,0.0,160.578031,2349.858394,0.2014,0.037,14.33,0.3847,9.452,0.0,62.0,0.0,-0.362308,0.0,0.2238,0.0,0.93758,0.0,73.172,0.0,,,,,,,0.65,0.0,266.690465,0.0,21.070663,0.0,17.808,0.0,65.562727,0.0,0.0,0.0,160.578031,0.0,2349.858394,0.0,0.2014,0.0,0.3847,0.0,0.037,0.0,14.33,0.0
vat_ccnbarc_hexa_oleic,1,6,[1],0.65,295.132928,22.868393,21.84,65.520774,0.0,183.660447,2466.950507,0.1641,0.061,22.88,0.621,39.321667,0.0,29.0,0.0,-0.5,0.0,0.2758,0.0,0.9243,0.0,70.338333,0.0,,,,,,,0.65,0.0,295.132928,0.0,22.868393,0.0,21.84,0.0,65.520774,0.0,0.0,0.0,183.660447,0.0,2466.950507,0.0,0.1641,0.0,0.621,0.0,0.061,0.0,22.88,0.0
vat_ccnbarc_penta_oleic,1,5,[1],0.65,263.87519,23.616,21.0,56.533081,0.0,160.549211,2193.657723,0.1331,0.038,15.42,0.5137,31.72,0.0,29.0,0.0,-0.448,0.0,0.2758,0.0,0.91738,0.0,69.766,0.0,,,,,,,0.65,0.0,263.87519,0.0,23.616,0.0,21.0,0.0,56.533081,0.0,0.0,0.0,160.549211,0.0,2193.657723,0.0,0.1331,0.0,0.5137,0.0,0.038,0.0,15.42,0.0
